Unit Title/Description,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,
Bedspace for Rent- All in!,3000,"Bed space/ New Unit
?? Lower Deck- 3,000
?? Upper Deck- 2,800
?Free Electricity and water
?Free WiFi ( converge) 
?Free Drinking Water
?Airconditioned Room
?Free Foam and pillow
?Free use of Gas Stove/ Refrigerator 
?Smart TV with Netflix
With receiving room, kitchen and balcony
Near Sucat Highway, Shop wise Sucat, Teleperfomance, Ibex, SM BF, Northgate, Alabang Market,SM Bicutan and Bus Terminals
Waterfun Condominium 
3rd floor- West Service Road, Muntinlupa City
Please text or Call 09956134200",West Service Road,1,1,Metro Manila (NCR),Muntinlupa City,Sucat,50,,,,https://www.carousell.ph/p/bedspace-for-rent-all-in-1060088211/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/2/bedspace_for_rent_all_in_1609583954_2c9b2cb3_progressive,description
Bedspace for Rent,1700,"Bedspace for rent available for boys and girls??
-Concrete ang House
-free water and basic electricity
Landmarks: USC-Main Campus
                               Terminal sa Vhire South

Address : Jakosalem St Brgy Kamagayan Cebu City",688-A D. Jakosalem St. Kamagaayan Cebu City,,2,Central Visayas,Cebu City,Kamagayan (Pob.),105,,,,https://www.carousell.ph/p/bedspace-for-rent-1067898831/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=HwF01yaAYrutj1Tv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/6/bedspace_for_rent_1612614679_74ae9f88_progressive.jpg,description
Bedspace near Ortigas Center,2500,"Available Oct. 1, 2020
Inclusive of basic electricity and water

Fully Furnished with appliances
Microwave
Refrigerator
Gas stove (free gas)
Bunk bed
Cabinet
Electric fan

Free use of amenities
Gym
Swimming pool

Free drinking water

FEMALE BEDSPACERS ONLY
Min.of 6 months stay
1 month advance 1 month deposit

For more information text/ call 09206808703","Cambridge Village, Eastbank Road",2,1,Metro Manila (NCR),Pasig City,,40,,,,https://www.carousell.ph/p/bedspace-near-ortigas-center-245971513/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/9/9/bedspace_near_ortigas_center_1599624672_b30021a6_progressive.jpg,
Looking: Bedspacer,2000,"Looking for Bedspacer (Kapalit ko) for ladies only, located inside San Antonio Village in front of The Link Centre.

Can move in ASAP.

2BR apartment (4 pax lang per room kaya hindi crowded)
*Near Megamall, Shang and Ortigas Center
*Area safe & secured

PAYMENT
Upperdeck - 2,000 (exclusive: water, electricity, internet and cable)
1mo. advance & 1mo. Security Deposit

Since ako naman yung papalitan mo, I'll be leaving my mattress and electric fan na. 

PM me lang po for viewing and more info. Thank youuu :)","Gen Atienza St., San Antonio Village",2,1,Metro Manila (NCR),Pasig City,San Antonio,65,,,,https://www.carousell.ph/p/looking-bedspacer-1068152792/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/7/looking_bedspacer_1612704881_58921e26_progressive,
THE DORM PASAY - FULLY FURNISHED BEDSPACE FOR WORKING PROFESSIONALS,2400,"THE DORM PASAY

??Fully furnished dormitory strictly for students and working professionals (male and female) 

??Accessible to AIMS / SM MOA / Makati / Manila / COD / SOLAIRE / OKADA

RATES:
??P2,400/HEAD/MONTH - FAN ROOM
??P3,100/HEAD/MONTH - AIRCON ROOM

DETAILS:
??Well ventilated rooms w/orbit fan & exhaust fan
??Double deck bed w/good quality mattress
??Cabinet 
??CCTV 
??4-6 pax in one room

RATE INCLUDES:
??Water
??Electricty
??Hot & cold drinking water
??WIFI
??Cable TV

TERMS & CONDITIONS:
??1 month advance & 1 month deposit
??Minimum of 3 months stay
??No cooking allowed
??No smoking within the dorm premises

LANDMARKS:
??Near Holiday Plaza (libertad corner F.B. harisson)
??5 minutes walk to Libertad LRT station

PLEASE PROVIDE THE FOLLOWING DETAILS WHEN INQUIRING:
??Gender
??Location of work
??Work profession 
??Preferred rooms (fan or ac room)
??Work schedule (for ac room)

For air-conditioned rooms, aircon will be operating 12 hours per day.  The schedule of ac operating hours for rooms will be: 
??7pm-7am
??7am-7pm

VIEWING SCHEDULE:
??Mon - Sat 7am-7pm
??Strictly by appointment only
??Preferably to be informed a day in advance

CONTACT:
??VIN
??Viber: 09276667488
??Inquiries preferably through fb page (messenger) — thedormatpasay;",,1,1,Metro Manila (NCR),Pasay City,,30,,,,https://www.carousell.ph/p/the-dorm-pasay-fully-furnished-bedspace-for-working-professionals-258053972/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/10/22/the_dorm_pasay__fully_furnished_bedspace_for_working_professionals_1571698696_37542674_progressive.jpg,description
Room for rent / female bedspacer,5000,"Room for rent with terrace available
Near paranaque municipal hall
Very convenient and near church, hospital, puregold etc
Transportation access is walking distance
Free electricity-fan and water supply
Free fiber wifi
Drinking water
Parking along road",,,,Metro Manila (NCR),Paranaque City,San Antonio,25,,,,https://www.carousell.ph/p/room-for-rent-female-bedspacer-1068135498/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=9IVhQqt-p8MQa9pQ&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/7/room_for_rent__female_bedspace_1612700454_3a2e020b_progressive.jpg,
Bedspace/Condo Sharing,8000,"CONDO SHARE/BEDSPACE??????
ALL THE INFORMATIONS WILL BE LISTED BELOW! 
PLEASE, MESSAGE ME IF YOU’RE INTERESTED AND FEEL FREE TO ASK??
?? INFORMATIONS
Amaia Skies Shaw Condominium 
29th Floor 
Fully Furnished 
Facing Amenities
1 year Contract
MOVE IN ANYTIME
 ? CONDO SHARING / BEDSPACE
All Female (3 Pax available)
ALL IN ????
PHP 8,000/month 
2 months deposit 1 month Advance

Inclusions
??Electricity
??Water 
??Fiber WIFI
?? Free use of Utilities 
?? Free use of Amenities
??Association Dues 
? Parking
?? UTILITIES
* AirCon
* Kitchen Cabinets
* Refrigerator 
* Automatic washer
* Electric stove 
* Sofa 
* TV with Netflix 
* Shower hot/cold
* Room Cabinet
??AMENITIES
* Swimming pool
* Playground
* landscaped garden
* Jogging path
 ?? LOCATION 
 Shaw Blvd corner Samat Street, Barangay Highway Hills, Mandaluyong City
* Accessible from EDSA and Shaw Blvd.
* Accessible to Shaw station of MRT and transport stations such as Jeepneys, buses and Shuttle services.
* Close to schools, recreational center, hospitals and various commercial establishments such as EDSA Central, Starmall, Shangri-la and SM Megamall.

Unit Owner here ??",,2,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,32,,,,https://www.carousell.ph/p/bedspace-condo-sharing-1058068474/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/12/23/bedspacecondo_sharing_1608721617_759e4ae7_progressive.jpg,description
Bedspace Pasig Bedspace Ortigas Bed Space Ortigas Bed Space Pasig Male,4000,"CLEAN & COVID FREE. ONLY 2 PEOPLE PER ROOM SO YOU HAVE PRIVACY. Conveniently located inside a cosy village in Ortigas business district, village has cctv, located right across Capital Commons. A 5-10 minute walk to Ayala the 30th Mall or Tektite Tower, 10-15 minute walk to MRT Shangrila Mall and Megamall. Other nearby malls are Podium, Robinson's Galleria. ALL INCLUSIVE IN P4,200 ARE: water, electricity, 35 MBPS WIFI CONVERGE ICT, locker closet, mattress, pillowcases and bedsheets are laundered weekly, cleaning lady cleans common areas such as toilets, sinks, shower rooms, hallways, exhaust fans provided in rooms and toilets. There are 3 separate sinks, 3 separate showers and 3 separate toilets, so you can get ready faster wala nang pila. Cooking not allowed, pero maraming mura na resto.  No curfew.  P4,200 PER MONTH.  PLUS 1 MONTH DEPOSIT. Please text or call Genna for scheduled viewing at +639275061473.  Thank you and pleasant day ahead :)",,4,3,Metro Manila (NCR),Pasig City,,33,,,,https://www.carousell.ph/p/bedspace-pasig-bedspace-ortigas-bed-space-ortigas-bed-space-pasig-male-276460111/?t-id=zw2G1wqHBD_1612754364405&t-referrer_browse_type=search_results&t-referrer_request_id=VvgCQirLcpMbhVcW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/02/07/bed_space_males_only_ortigas_pasig_1581037778_e1f6493f_progressive.jpg,
Room and Bedspace for Rent,4000,"One of the most accessible and convenient places to live in Sampaloc, Manila area at just one block away from Trabajo Market near Espania Blvd. Price basically starts at 4,000 but we also have for 3,500.","1656 S.H. Loyola St., Sampaloc, Manila",5,4,Metro Manila (NCR),Manila,Sampaloc - Barangay 454,15,,,,https://www.carousell.ph/p/room-and-bedspace-for-rent-1067690402/?t-id=aELmNa9nuw_1612754730040&t-referrer_browse_type=search_results&t-referrer_request_id=VgYMHq4sa0zKN4mb&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/5/room_and_bedspace_for_rent_1612532475_652d7f27_progressive,
Bedspace for Boys,2500,"no need po Ng MGA advance at MGA deposit
near SM North po
with unli WiFi and globe landline
all in 2500 monthly MGA lods
common lahat
with guards
gated po kami
PM po kayoooo",,1,1,Metro Manila (NCR),Quezon City,Bagong Pag-asa,1111111111111111,,,,https://www.carousell.ph/p/bedspace-for-boys-1063604166/?t-id=aELmNa9nuw_1612754730040&t-referrer_browse_type=search_results&t-referrer_request_id=VgYMHq4sa0zKN4mb&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/1/18/bedspace_for_boys_1610947071_1910a56e_progressive.jpg,
Staff accommodation/Bedspace with Aircon for Rent in Taguig,3000,"Staff Accommodation / Bedspace with Aircon for Rent in Taguig City

Monthly Rent 3000 All in 
Total capacity - 14 beds

FREE electric and water
Airconditioned Room
Refrigerator provided
Attached Bathroom & Kitchen
With brand new mattress and pillow  
No linen provided
Cabinet & Personal locker available 
CCTV installed in the building 

Optional: (plus 1000 per person)
Wifi connection 
Cleaning services 
Drinking water
Linen provided

Location:
-Near to C5 road
-Accessible to FTI, Bayani road, Mckinley, BGC, Pasig, Pateros and nearby areas
-Near to laundry shop, notary public, hardware, wet & dry market, grocery store, water refilling station, bayad center, bakery and restaurants
-24/7 tricycle and jeep

For more details please call / text:
09664655033 or 029974816","3rd Street, Barangay Katuparan ",3,1,Metro Manila (NCR),Taguig,,60,,,,https://www.carousell.ph/p/staff-accommodation-bedspace-with-aircon-for-rent-in-taguig-240240029/?t-id=aELmNa9nuw_1612754730040&t-referrer_browse_type=search_results&t-referrer_request_id=diAXIRcv5x3bEw6T&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/17/staff_accommodationbedspace_with_aircon_for_rent_in_taguig_1563353288_149b05d6_progressive.jpg,
Lady bedspace with Aircon for Rent in Taguig City,3000,"Lady bedspace with AC for Rent in Taguig City

Monthly Rent 3000 All in 

FREE electric and water
Airconditioned Room
Refrigerator provided
Attached Bathroom & Kitchen
With brand new mattress and pillow  
No linen provided
Cabinet & Personal locker available 
CCTV installed in the building 

Optional: (plus 1000 per person)
Wifi connection 
Cleaning services 
Drinking water
Linen provided

Location:
-Near to C5 road
-Accessible to FTI, Bayani road, Mckinley, BGC, Pasig, Pateros and nearby areas
-Near to laundry shop, notary public, hardware, wet & dry market, grocery store, water refilling station, bayad center, bakery and restaurants
-24/7 tricycle and jeep

For more details please call / text:
09664655033 or 029974816","3rd street, barangay katuparan ",1,1,Metro Manila (NCR),Taguig,,20,,,,https://www.carousell.ph/p/lady-bedspace-with-aircon-for-rent-in-taguig-city-240238355/?t-id=aELmNa9nuw_1612754730040&t-referrer_browse_type=search_results&t-referrer_request_id=diAXIRcv5x3bEw6T&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/17/lady_bedspace_with_aircon_for_rent_in_taguig_city_1563352748_632e720e_progressive.jpg,
room for rent or bedspacer with balcony,5000,"Room for rent with balcony
Laundry area
Dining area common
Free wifi
Electricity -fan/water included
Drinking water
Female only
Location: San antonio paranaque 
Transporation available nearby
Near church, puregold, hospitals etc",,1,,Metro Manila (NCR),Paranaque City,San Antonio,40,,,,https://www.carousell.ph/p/room-for-rent-or-bedspacer-with-balcony-1067306652/?t-id=aELmNa9nuw_1612754730040&t-referrer_browse_type=search_results&t-referrer_request_id=uh6_VSXy3A_8axRP&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2021/2/3/big_room_for_rent_with_balcony_1612368652_eadf8deb_progressive.jpg,
