Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Garden,Link,Image
THE DORM PASAY - FULLY FURNISHED BEDSPACE FOR WORKING PROFESSIONALS,2400,"THE DORM PASAY

??Fully furnished dormitory strictly for students and working professionals (male and female) 

??Accessible to AIMS / SM MOA / Makati / Manila / COD / SOLAIRE / OKADA

RATES:
??P2,400/HEAD/MONTH - FAN ROOM
??P3,100/HEAD/MONTH - AIRCON ROOM

DETAILS:
??Well ventilated rooms w/orbit fan & exhaust fan
??Double deck bed w/good quality mattress
??Cabinet 
??CCTV 
??4-6 pax in one room

RATE INCLUDES:
??Water
??Electricty
??Hot & cold drinking water
??WIFI
??Cable TV

TERMS & CONDITIONS:
??1 month advance & 1 month deposit
??Minimum of 3 months stay
??No cooking allowed
??No smoking within the dorm premises

LANDMARKS:
??Near Holiday Plaza (libertad corner F.B. harisson)
??5 minutes walk to Libertad LRT station

PLEASE PROVIDE THE FOLLOWING DETAILS WHEN INQUIRING:
??Gender
??Location of work
??Work profession 
??Preferred rooms (fan or ac room)
??Work schedule (for ac room)

For air-conditioned rooms, aircon will be operating 12 hours per day.  The schedule of ac operating hours for rooms will be: 
??7pm-7am
??7am-7pm

VIEWING SCHEDULE:
??Mon - Sat 7am-7pm
??Strictly by appointment only
??Preferably to be informed a day in advance

CONTACT:
??VIN
??Viber: 09276667488
??Inquiries preferably through fb page (messenger) — thedormatpasay;",n/a,1,1,Metro Manila (NCR),Pasay City,,30,,,,,https://www.carousell.ph/p/the-dorm-pasay-fully-furnished-bedspace-for-working-professionals-258053972/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace,2800,"near SM North,
pwede pa tumawad depende sa available namen,
unlimited WiFi
2800 monthly pwede pa tumawad depende sa available namen,
includes free monthly use of LPG,
meralco,
water,
WiFi unlimited
WiFi name: Utot mo
WiFi password: Pogiliam
laundry area,
common Cr,
tahimik",Bliss,,1,Metro Manila (NCR),Quezon City,Bagong Pag-asa,,,,,,https://www.carousell.ph/p/bedspace-1054212065/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=bd6tKuZcRJvKDyiW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Rooms ....bedspacers for rent,1000,"Rooms and bedspacers for rent

Near sm san mateo walking distance

Accesible to major areas...

 near batasan road...market...puregold groceries..hospitals...main road...mercury 7-11...bldgs..padala stations...food stations carinderias...restaurants etc

Pm for details or call txt 09085312916




P",JF diaz ave,2,3,Calabarzon,San Mateo,Ampid I,n/a,,,,,https://www.carousell.ph/p/rooms-bedspacers-for-rent-1047059151/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
2.3K Bedspace in Taguig,2300,"Location
?? Molave St. North Signal Village, Taguig City
?? Near Market Market, BGC, SM Aura, Uptown, McKinley

Details
?? 2 rooms available. 4 bedspacers per room (2 Bunkbeds each room)
?? 2 common bathrooms

Inclusions:
?? Bunkbeds
?? Electric Fan
?? Water (No Laundry)
?? Wi-Fi
?? Electricity (No Ricecooker / Iron)

Pricing:
?? ? 2,300/month - with mattress
?? ? 2,100/month - no mattress
?? ? 300/day - Transient

Additional cost for the following:
?? Parking - ? 500/month
?? Rice Cooker/Iron Use - ? 300/month 
?? Handwashing Laundry - ? 100/month

Restrictions
? No Pets.
? No Children.
? No Discrimination or Segregation of Gender.
? Motorbike parking only.
? Cooking.

Requirements
?? 2 Valid IDs (Sent via PM)
?? 2 Months Advanced Security Deposit to move in (Deposit Slip via PM)
Channels Accepted:
?? BDO
?? Palawan/LBC/Cebuana
?? Payment strictly to Accepted Channels
? Caretaker will NOT handle money.
? No security deposit = No WiFi & leave 2 ACTUAL Valid Government IDs with the Caretaker

Viewing
?? Anytime, but please schedule and notify beforehand.","Molave St. North Signal Village, Taguig City",4,2,Metro Manila (NCR),Taguig City,,10,,,,,https://www.carousell.ph/p/2-3k-bedspace-in-taguig-239874774/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Rent Bedspace ladies girl women dorm CondoShare Eastwood City,4500,"Text your name/company/move in date 
For Ladies only
Olympic Heights in Eastwood City, C5, Bagumbayan, Libis, QC.
Near Accenture, IBM,Technoplaza, Converygys, Ortigas/ Cubao/ Pasig/ BGC
clean unit and sturdy beds/ safe and secure community
Aircon Quad ==>P5000 per pax/mo available
Aircon 6 in room w/CR ==>P4500 per pax/mo available
Solo Room electric fan only with CR 6500 per month
Includes:
-Bed, Cabinet, bed foam,shoe rack
- Rent
- Condo Dues
- Electricity/Water with limit
- Cable TV/ with wifi +150
- Ref/water heater 
-fully furnished living room,kitchen w/ dining
- FREE USE Of pool and Gym

EASY MOVE-IN TERMS:
Min 6 mos term
1 mo advance to reserve/ 1 mo deposit upon move in
move in time weekends/holidays / every night on weekdays","Olympic Heights in Eastwood City, C5, Bagumbayan, Libis, QC.
Near Accenture, IBM,Technoplaza, Converygys, Ortigas/ Cubao/ Pasig/ BGC",2,2,Metro Manila (NCR),Quezon City,Bagumbayan,,,,,,https://www.carousell.ph/p/rent-bedspace-ladies-girl-women-dorm-condoshare-eastwood-city-263415494/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Lady Bedspace Condo sharing ortigas,3500,"Female only

including  internet, cable tv, ref, washing machine, water and electricity.

slots start at 3,500.00

Upper Bunk - 3,500.00 + 500 (utility) = 4,000.00

Lower bunk - 4,000.00 + 500 (utility) = 4,500.00","Citiland Megaplaza, ADB Ave., Ortigas Center, Pasig City.

Back of Robinson Galleria, Blue and white bldg.",5,3,Metro Manila (NCR),Pasig City,,94.25,,0,,,https://www.carousell.ph/p/lady-bedspace-condo-sharing-ortigas-1043832309/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=axD_EwUGFETxbO3t&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Couple Bedspace for Rent Pedro Gil Taft Malate Manila,8500,"We have Aircon Bedspace available in PedroGil Taft Malate, as priced below ??

WATCH VIDEO TOUR HERE:","VICTORIA DE MANILA, 1655 Taft Ave., cor PedroGil St., Malate Manila",2,1,Metro Manila (NCR),Manila,Malate - Barangay 696,21,,,,,https://www.carousell.ph/p/couple-bedspace-for-rent-pedro-gil-taft-malate-manila-1054003616/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=rqQ6LRSxVWyBvn3f&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace for rent / condo sharing,5000,"FOR FEMALE Bedspace for rent/ Condo sharing
Php5000/head per month ALL IN

??Victoria de Manila, Taft Avenue, Malate Manila

?with refrigerator
?with fan
?utilities(electric/water)
?free WIFI connection
?with induction cooker

Very accessible to:
??Robinsons Manila
??PGH
??US Embassy
??Pedro gil LRT station
??Paco Market/Savemore 
??7/11
??Banks (BDO, BPI, Sec Bank)

Pm for details: 0999 358 5897",1655 Taft Avenue Malate Manila,3,1,Metro Manila (NCR),Manila,,10,,,,,https://www.carousell.ph/p/bedspace-for-rent-condo-sharing-277640714/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
BEDSPACE near UST and University Belt Male or Female,4000,"3 Storey TownHouse!! 

""BEDSPACE FOR RENT""

We are located near UST (walking distance) Perpetual Help College, St. Jude, CPAR, PRC and UNIVERSITY BELT 

Trabajo Public Market, Savemore, Mercury drug, España blvd.

for ONLY 4000 Male or Female with AIRCONDITIONED ROOM (split type inverter)

Inclusions:
* Electricity
* Water
* double deck bed with uratex mattress (bring your own bedsheets, blankets and pillows)
* Individual cabinet
* 1 electricfan per person
* with toilet and bath inside the room
* free use of Refrigerator and Television

Terms of Payment:
*1 month advance & 1 month deposit

for inquiries please call or text 0.9.2.5.3.4.4.7.7.2.2",n/a,3,4,Metro Manila (NCR),Manila,,n/a,,,,,https://www.carousell.ph/p/bedspace-near-ust-and-university-belt-male-or-female-239163507/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Lady Bedspace for Rent in Quezon City,4800,"Welcome Ladies! A Home Away from Home.

Promo rate/month P4,800/head

Amenities
• Fully furnished brand new rooms
• Free wifi
• AC rooms
• Shower heater
• Kitchen area: stove, rice cooker, oven toaster, m. oven, H2O heater, ref, filtered H2O
• Washing machine
• Coffee/study/rec area
• Security – biometrics door, 24/7 CCTV

Proximity
• Near UP, Ateneo, Miriam
• Near Trinoma, SM North, UP Town Center
• Near EDSA, QC Hall, QC Circle, Commonwealth, Philcoa, Katipunan
• Near Phil Heart Center, East Ave Medical Center
• Near restaurants, grocery stores, pharmacies, spa, salon

Address: 95A Matahimik St., Sikatuna Vill., QC (near Nest Learning Center)","95A Matahimik St., Sikatuna Vill., QC (near Nest Learning Center)",1,1,Metro Manila (NCR),Quezon City,,20,,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-quezon-city-239043340/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
MALE BEDSPACE Dormitory near Cash &Carry and LRT Gil Puyat station,3400,"Our Makati Dormitory still available located at 4310c emilia st near jollibee bautista and cash & carry it's gated unit and flood free

inclusion
- Water &Electricity
- Wifi & Cable 
- Water Dispenser, Electric Stove & fridge 
- Sofa & Dining set 
- Bed & foam 
- Ceiling Fan & Stand fan
- Locker
- Bathrooms 
- Once a week cleaning 

requirements 
- valid ids
- rapid test or swab test if no rapid health Certificate 

payment method 
- 6 months contract with 1 month Advance & deposit
- 3 months contract with Advance only

for the you can text me 09069125200","4310c Emilia St, Brgy Palanan Makati City",5,3,Metro Manila (NCR),Makati City,Palanan,90,,,,,https://www.carousell.ph/p/male-bedspace-dormitory-near-cash-carry-and-lrt-gil-puyat-station-1046993258/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace for Rent Makati City,2500,"Bedspacer
??Near transport
??In front of Ayala Mall (Circuit) 
??Near bakery
??Near Fastfood Resto
??Jollibee & Mcdo
????Near Gym
????Near Circuit Ground
?? Near atm machines



Php 2,500 all in

Includes:
??Water
??Electricity
??Wifi
??Drinking Water
? Can cook
? Can do laundry

??Payment terms: 1month advance only upon move in","Olympia Makati, City",1,1,Metro Manila (NCR),Makati City,,40,,0,,,https://www.carousell.ph/p/bedspace-for-rent-makati-city-249963850/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspace Condo sharing for rent Ortigas Shaw Blvd mandaluyong Pasig,5000,"?SMDC Fame condominium
Looking for 4 female bedspacers.  walking distance to megamall &Shangri-la , beside SHAW BLVD MRT- Ortigas area
For 6month to long term lease
??Willing to share 2 persons per room( 2 rooms)
??5,000 per head
??water and electricity not included
??6 months to 1 year contract
??1 month advance and 1 month security deposit

Thanks for viewing!

SMS at -0922-8866120","FAME Residences, EDSA Shaw Boulevard Mayflower Street, Brgy. Highway Hills, Mandaluyong City,",2,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,24.05,,0,,,https://www.carousell.ph/p/bedspace-condo-sharing-for-rent-ortigas-shaw-blvd-mandaluyong-pasig-1039275846/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Ladies Bedspace Cubao QC Boarders Bedspacers,2000,"Looking for LADY BEDSPACERS 
Cubao

*water and electricity not inclusive in the rates*

*Each room accomodates ""6 PERSONS""
*Each room has own CR and KITCHEN SINK
*Furnished with BED and MATRESS, *CABINET with lock for each bedspacer
* rooms with Electric Fan
* Dormitory has 24/7 SECURITY GUARD and Security Cameras
* FREE WIFI
* FREE housekeeping services

- 5min walk to SM HYPERMART
-10-12 mins walk to Gateway, Farmers Plaza, Shopwise
-8-9 mins walk to Telus, Egs, Ali Mall, SM

Accessibility
-5mins walk to Main Ave bus stop to North Edsa or Ortigas
-10mins walk to LRT2 and MRT3 
- walking distance to jeepneys going to EASTWOOD","37 8th avenue, Cubao",1,1,Metro Manila (NCR),Quezon City,,25,,,,,https://www.carousell.ph/p/ladies-bedspace-cubao-qc-boarders-bedspacers-238767323/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Female Bedspace,2000,"Female Bedspacer for only 2,000php per month with 500php free of charge use on the total utilities per month!

For more inquiries, kindly call or text:
09672914167",#3 Katuray St. Roxas Dist. Quezon City,2,2,Metro Manila (NCR),Quezon City,,100,,,,,https://www.carousell.ph/p/female-bedspace-248437216/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Bedspacer behind SM North &Trinoma,1900,"Just PM me on my messenger (dave bitnix)
Free water and electricity
Electric fans are provided already.
1900 monthly 
JUST MESSAGE ME ON MY MESSENGER ACCOUNT  ( DAVE BITNIX)
or...
My TM # 09658511264","50 Gate 4 BLPC Rd.3 , Bagong Pagasa Quezon City..

Nearest Landmarks are;

SM North Edsa and 
Our Lady of Hope Parish Church",1,1,Metro Manila (NCR),Quezon City,Bagong Pag-asa,40,,,,,https://www.carousell.ph/p/bedspacer-behind-sm-north-trinoma-1053585749/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=Po1hIKoaC29tx195&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Looking for One Male Bedspacer - 588 Residences Boni Area near Boni MRT,5200,"For Rent:
24 sqm.

Inclusive of internet connection, water bill, electric bill and association dues. 

One month advance and one month deposit plus P2,000 security deposit to move in. PM for details.

Move in January 10, 2021.

Thanks.","588 Residences, Cordillera Street cor. Arayat Street, Boni",1,1,Metro Manila (NCR),Mandaluyong City,,24,,0,,,https://www.carousell.ph/p/looking-for-one-male-bedspacer-588-residences-boni-area-near-boni-mrt-269672506/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
Ladies Bedspace or Ladies Room for rent Good for 1-2 person.,2800,"Ladies Bedspace / Room for rent. Good for 1-2 person.

- Free WIFI access (all rooms) 
- 24/7 CCTV 
- FLOOD-FREE area 
- NO CURFEW

- 1 min walk to JP Rizal Ave 
- One Ride Jeep to Paco/Taft/Herran/Circuit/PRC/Pasong Tamo/Rockwell/Guadalupe MRT/Fort BGC/Glorietta/Greenbelt 
- 5 min walk to Mapua Buendia, Buendia, Ayala, Circuit, St. Andrew’s Church, SM Jazz Hypermarket, Starbucks. Coffee bean, Wendy's, Burger King, Rubs 
- Near place: Mcdonald, LBC, Jollibee, Chowking, PS Bank, BDO, J.P. Rizal Market, Makati City Hall, Church, Shakeys, Pizza Hut(Soon)

Terms: 1 mo. advance, 2 mos. security deposit

Requirements: Photocopy of Company/Student ID, NBI, Government ID",n/a,1,1,Metro Manila (NCR),Makati City,,16,,,,,https://www.carousell.ph/p/ladies-bedspace-or-ladies-room-for-rent-good-for-1-2-person-238605369/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=6GkmcA-k4_tT5But&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
"Bedspace for rent, Cubao Quezon City",2800,"Ready for occupancy!

*Newly built with high quality design and structure.
*Quiet and safe neighborhood.
*Located between EDSA and E. Rodriguez.

Details:
-Female bedspacers only.
-Rent @ P2,800 per bed.
-One room can has 4 beds (2 double deck beds with mattress) with 1 toilet and bath.
-Electricity and Water are sub-metered.

Location details:
-3 minute walk to E. Rodriguez
        -PUV routes passing E.Rodriguez: Cubao-Espana-Quiapo-Taft; Cubao-Arayat-Kamuning, Roces-Philcoa-Fairview.
        
-7 minute walk to south-bound side EDSA
        -Nearest landmark: Ramon Magsaysay High School, Nepa Q-Mart, New York Street

Other details:
-No pets allowed.
-As of now, no cooking and laundry. But it will be added soon.

Terms: 
-1 month advance.
-1 month security deposit.
-6 months minimum contract.

Thank you.",43 Sgt J Catolos St Cubao,1,1,Metro Manila (NCR),Quezon City,,10,,,,,https://www.carousell.ph/p/bedspace-for-rent-cubao-quezon-city-1012118741/?t-id=GlQ-nXMZi5_1607491971796&t-referrer_browse_type=search_results&t-referrer_request_id=MEpW0Pc9KWLIOwjD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,
