Unit 2410 south flair towers,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link
"Bedspace in Cubao, Walking Distance to Araneta City!",3900,"Bedspace in Cubao, Near Araneta City, MRT-3, LRT-2, etc.
-3,900 per month per person.

A 29sqm studio unit on the second floor of a condominium building, on P. A. Bernardo Street (formerly known as ARAYAT STREET).

Two months in advance, the equivalent of two months' rent for security deposit, and 500Php refundable key deposit.
So the MINIMUM cash required before moving-in is 15,600.

Electricity and water INCLUDED in the rental price.
The apartment is furnished with all the usual items (see photographs).

Strictly clean and reliable tenants sought.
NBI clearance, photo identification and evidence of employment (or bank account statement) required BEFORE applying.

Message me for further enquiries.

May God Bless You Always!",P.A.  Bernardo Street,1,1,Metro Manila (NCR),Quezon City,"Arayat, Cubao",29,,,,https://www.carousell.ph/p/bedspace-in-cubao-walking-distance-to-araneta-city-240140174/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
EASTWOOD bedspace sharing,4000,"Eastwood bedspace

PLEASE ADIVSE that because of the pandemic, we cannot do viewings. Instead, we will provide you photos of the unit.

New unit, 76 sqm 3 bedrooms 2 cr
Free WIFI, telephone landline, Cable TV, drinking water and manilad
Free use of SAUNA, GYM AND SWIMMING POOL
WE HAVE A CLEANING LADY TO CLEAN THE UNIT THRICE A WEEK.
Refrigerator, stove, aircon, tv, electric fan is included
NON AIRCONDITIONED ROOMS- 4000 pesos
AIRCONDITIONED ROOMS- 5000 pesos

For inquiries and viewing, please contact this number 09055488143 or pm me.
Accesible because the units are just right above the mall, nightshift dayshift you are all welcome!
1month advance 1 month deposit, 6 months contract!

Thank you
LADIES ONLY",Eastwood Bedspace,3,2,Metro Manila (NCR),Quezon City,Parkview 1 Eastwood,76,,0,,https://www.carousell.ph/p/eastwood-bedspace-sharing-1012735595/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Affordable Bedspace for men(Preferably works in a callcenter),1700,"Quezon City
STRONG AND CLEAN WATER.
NO FLOODING.
CCTV PROTECTED VERY SAFE

Located at: 12 AP Townhomes Don Faustino St. Don Antonio Heights, Q.C.
5 mins. to Jollibee Isidora and Puregold.
Walking distance from Commonwealth Hi-way( 10 mins.)
NO Flooding.
Safe and convenient.
Free Wi-Fi.
NEAR F.E.U.
NATIONAL BOOKSTORE
PUREGOLD
AUB BANK
PNB
BDO
CHINABANK
SECURITY BANK

SM Malls( SAN MATEO, FAIRVIEW, SM NORTH)
CALLCENTER(One Felicity CENTER, Contact Solutions,, Afni, TechnoHub)
Near Schools(U.P Diliman, F.E.U, AICS, STI
, Mary the Queen College, Jollibee, Mcdonalds,
Cebuana, Puregold, SandiganBayan, GPI, Silver Star).
Mandarin Sky,
Fitness First Gym
Ideal for reviewer and students. Accept Transient
NeTricycle station.
Strong water and 24 hrs trans.

Pls send sms for the add. &amp; sched. of viewing. look for ms. Yumi

globe-09264255908 smart -09073220018 /4277491

lady bedspace quezon city
lady bedspace quezon city
Dormitory

Pls send sms for the add. &amp; sched. of viewing. look for ms. Yumi
read more
1 month ago In Townhouse
Location
Street Address
12 AP Townhomes Don Faustino corner. Kasiyahan St.
Unit Details
Bedrooms
4 Bedrooms
Floor Area
60 sqm.
Furnishing
Full",12 AP Townhomes Don Faustino corner. Kasiyahan St. Don Antonio Heigths Quezon City,4,,Metro Manila (NCR),Quezon City,Don Antonio Heights,60,,,,https://www.carousell.ph/p/affordable-bedspace-for-men-preferably-works-in-a-callcenter-1043683023/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspace Condo sharing ortigas,3500,"Female only

including  internet, cable tv, ref, washing machine, water and electricity.

slots start at 3,500.00

Upper Bunk - 3,500.00 + 500 (utility) = 4,000.00

Lower bunk - 4,000.00 + 500 (utility) = 4,500.00","ADB Ave., Ortigas Center, Pasig City.

Back of Robinson Galleria, Blue and white bldg.",5,3,Metro Manila (NCR),Pasig City,"City Land Mega Plaza, Ortigas Center",94.25,,0,,https://www.carousell.ph/p/lady-bedspace-condo-sharing-ortigas-1043832309/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace in San Juan city,1500,"Female bedspace
Near Dominican College and San Juan City Hall
1 bus/jeepney ride to Green hills and Ortigas Center
Php 1500  +- 300 for electricity& water
Call: 0927-8633795, 0919-0042742, 02-87888550",N/A,1,1,Metro Manila (NCR),San Juan City,N/A,N/A,,,,https://www.carousell.ph/p/female-bedspace-in-san-juan-city-277234211/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Mandaluyong Female Bedspace,2500," 
2500 all in.
Easy travel to Megamall, Makati, BGC and Greenhills.
15mins away from Rockwell
Newly renovated room, kitchen and two comfort rooms.
Kitchen is provisioned with rice cooker, stove (+200/month) and fridge. 
Safe and peaceful location.",885 Kasipagan St.,5,1,Metro Manila (NCR),Mandaluyong City,Brgy. Barangka Drive,50,,,,https://www.carousell.ph/p/mandaluyong-female-bedspace-238792752/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacers for a Fully-Furnished Boarding House,2500,PLease call 8366-8715 for vacancies and look for MARLENE.,159 William Shaw St.,3,2,Metro Manila (NCR),Caloocan City,Brgy. 86,5000,,,,https://www.carousell.ph/p/lady-bedspacers-for-a-fully-furnished-boarding-house-238525521/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacers for a Fully Furnished Boarding House,2500,Please call 83668715 for vacancies and look for Marlene!,159 William Shaw St.,3,2,Metro Manila (NCR),Caloocan City,Brgy. 86,888,,,,https://www.carousell.ph/p/lady-bedspacers-for-a-fully-furnished-boarding-house-238525519/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Room/Bedspace For Rent,800,"Infront St. James High School& St. James Parish Church. Very convenient and easy access to tricycle rides. 
Good for students if studying in SJHS or working in any of the establishments in town. A home away from home.","Curato St
Buenavista, Agusan Del Norte 8601",5,4,Caraga,Buenavista,Brygy . 555,N/A,,,,https://www.carousell.ph/p/room-bedspace-for-rent-278351041/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=vJ95YMx-lMu8FPiC&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Eton Tower Makati - Condo Sharing / Bedspace (Female Only),6500,"6500/month upper bunk EXCLUDING utilities, Studio Type (22 sqm) Maximum of 4 females in a room

Utilities per pax:
-Electricity 
-Unlimited Fast Internet - No Cap 
-Water

Rate is inclusive of the ff:
-Rent
-Association Dues
-24/7 Security with key card
- Free use of Amenities (Gym, Swimming Pool, Garden Balcony)
-Aircon
-Electric Fan
-Refrigerator
-Induction Cooker
-Juicer/Blender
-Rice Cooker
-TV
-Nintendo Wii
-Cabinet
-Shower w/ heater
-Bunk bed w/ Uratex Mattress

Direct access to Dela Rosa Elevated Walkway that is connected to Greenbelt, Landmark, Glorietta, Ayala North Exchange and Makati Medical Center.

Flood free

Unit is available for viewing this October. Can move in November  1, 2020.

Reservation is at first come first serve basis. 
2 Months advance, 2 months deposit 
Minimum 1 year contract

The condominium has strict health protocols for move-in tenants. 

Please look for Zai: 09065660376  ","128 dela Rosa St, ",1,1,Metro Manila (NCR),Makati City,Corner V.A. Rufino St ,22,,0,,https://www.carousell.ph/p/eton-tower-makati-condo-sharing-bedspace-female-only-1043066053/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Smdc shore 1 Condosharing condoshare bedspace,7000,"smdc shore 1 
tower d
rm734-7th floor
in front of SM Moa

need 4person
p28000/month
or p7t bedspace/per head
inclusive condo dues
water & electricity share by tenant

sms-0922-8866120",Shore Residences Seaside Boulevard,1,1,Metro Manila (NCR),Pasay City,Mall of Asia Complex,24.5,,0,,https://www.carousell.ph/p/smdc-shore-1-condosharing-condoshare-bedspace-1050627571/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
SMDC Mezza residences condoshare bedspace Condosharing,5000,"SMDC Mezza residences -in front of CCP, near UERM, SM sta mezA, MRT sta, along aurora Blvd.
Tower 3, 36th floor penthouse
3 bedroom-3 toilet

need 3 females
p5000 / bedspace/per head
inclusive condo dues
water & electricity share by tenant

SMS -0922-8866120",G.Araneta corner Aurora Blvd.,3,3,Metro Manila (NCR),Quezon City,Brgy. Doña Imelda ,62,,0,,https://www.carousell.ph/p/smdc-mezza-residences-condoshare-bedspace-condosharing-1050607145/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for employees students and reviewees,2700,"This listing is hosted on Carousell on behalf of OLX Philippines.
4 slots  for male are available for bedspacers.  Rental price is inclusive of water and minor electrical consumption.  Located at 1564-C Maria Clara St. Sta. Cruz Manila.  Two blocks from SM San Lazaro.  Very near to the university belt.  Maraming mura at masarap na eatery  or carenderia sa aming barangay.",1564 - C Maria Clara St.,1,1,Metro Manila (NCR),Manila,Brgy. 343 Zone 34,10,,,,https://www.carousell.ph/p/bedspace-for-employees-students-and-reviewees-238510410/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace employees & students (near SM San Lazaro),2700,"- 2 blocks away from SM San Lazaro
- 1 block away from Dangwa Flower Market
-rental price inclusive of water consumption and minor electricity consumption
- 4 slots for male occupants available
- for inquiries, please text or call 09158102731","1564 C. Maria Clara Street, Sta. Cruz Manila, Brgy. 343 Zone 34",1,1,Metro Manila (NCR),Manila,Brgy. 343 Zone 34,10,,,,https://www.carousell.ph/p/bedspace-employees-students-near-sm-san-lazaro-240897391/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Better Living Parañaque: Male & Female Bedspacer Dorm Type,349,"What we offer po is bedspacer shared fanroom for male and female na dorm type. We offer 1 year contract 1 month advance and 1 month deposit And Non Contract Daily, Weekly Amd Monthly ang advantage po are no advance, no deposit and no contract. Ang babayaran nyo lang po, yung ibbook nyo po. All in na din po lahat, Kuryente, tubig, Internet, Mattress, Unan, Kumot kami na po maglalaba every week pwede kayo magrequest ng bago.  Malapit sa lahat ng establishments. Magccheck in nalang po kayo. Pili nalang po kayo. =)

So far i have the most reasonable rates and amenities.

1.Hindi kasi lahat may cctv so safe, secured and convenient. 

2.May Dog din sa area at doorbell/ buzzer for safety & convenience. 

3. May Free wifi access din at balcony na pwede magamit for pass time.

4. May kasambahay nagmamaintain ng cleanliness.

5. Malapit sa lahat ng etablishments Sakayan, palengke, kainan, simbahan, hospital, police & Brgy. =).

Promo Rates:
Bed Spacer Shared Fan Rooms
(Non Contract) (SHORT TERM STAY)

Daily Rates Php 349 Per Day
Weekly Php 1749 Days +( Free 2 Days Stay )
Monthly Php 3999 3 Weeks + (Free 1 Week Stay)

Note: With Free Use Of Matress, Bedsheet, Pillow, Blanket And Electricfan.

Note: Shared Fan Rooms 1-4/6 Pax/Room

Note: Inclusive of Electric And Water Consumption Plus Free Wifi Access And Area Is CCTV protected. Thanks po. =).

Promo Rates:
Bed Spacer Shared Fan Rooms
(With 1 Year Contract)

Monthly
Php 2,699/Pax Upper Deck
Php 2,799/Pax Lower Deck
1 Month Advance And 1 Month Deposit

Note: Shared Rooms 1-4/6 Pax/Room

Note: Inclusive of Electric, Water Consumption, 2 inch mattress lend Plus Free Wifi Access And Area Is CCTV protected. 

You can provide on your own or rent Complete set 3 inch mattress, bedsheet, pillow for Php 499/month per set we'll do the laundry.

-Alex Yuzon
09177717648
Landlord",Blk 1 Lot 20-21 Mathew St. Annex 35 Doña Soledad,2,3,Metro Manila (NCR),Paranaque City,Brgy Don Bosco,265,,,,https://www.carousell.ph/p/better-living-para%C3%B1aque-male-female-bedspacer-dorm-type-249089096/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
For Rent: Female bedspacer in San Juan,2600,"For Rent: Female Bedspacer

* Near San Juan City Hall (old), Puregold Agora, CCP, UERM, Rob Magnolia.

* Rent is inclusive of water, electricity and wifi

Please text Ian at 0933-8572432 or Rose at 0017-8171241. Thanks.
* With cabinet, double deck, uratex foam, electric fan

Requirements:
- 1mo deposit and 1mo advance rent (consumable)
- 500 for keys deposit (refundable)
- Resume and copy of government ID

For questions please call or text me and look for Rose",18 C. Dungo St. ,3,3,Metro Manila (NCR),San Juan City,Brgy. Isabelita San Juan,200,,,,https://www.carousell.ph/p/for-rent-female-bedspacer-in-san-juan-271274092/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
dorm bedspace makati palanan,3700,"QUALITY DORM BETTER THAN BEDSPACE MAKATI  
P3700 mo, includes ALL-IN amenities, in fan room,  7+1 mo contract, 
rates increase for shorter term stay
AC shared bedslot in rooms available too. Must come and view.",3778 cuenca street,Dorm,Shared,Metro Manila (NCR),Makati City,Palanan,11,,,,https://www.carousell.ph/p/dorm-bedspace-makati-palanan-1057831604/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=X6PYWG7wDbM9VWpW&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"For Lease: Dorm/Bedspace in Manila, Makati, and Taguig area",1250,"Available Inventory:
1. Solo Rooms - P1,250/room per day
2. Dorm Type Rooms - P400/bed per day

*Open for short-term lease (15 days and up)"," NCR PH, Manila",1,1,Metro Manila (NCR),Manila,-,0,0,0,,https://www.carousell.ph/p/for-lease-dorm-bedspace-in-manila-makati-and-taguig-area-285936110/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Female in Cambridge Village/Condo near Ortigas Ave,3500,"Air-conditioned Bedspace for Female in Cambridge Village/Condo near Ortigas Ave

Free HOA dues and amenities,Swimming pool, gym, videoke,theater room and basketball court
Fully Furnished

Free to use Aircon, Internet Wifi, hot shower, Refrigerator,Microwave, Washing Machine, Individual cabinet.

Electric and Water minimal share.

Good location near Ortigas Ave, Medical City,Tiendesitas, Megamall,Robinsons Galleria

1 month advance,1 month deposit
P3500 upper deck
P4000 lower deck

Ready for occupancy.

For additional info contact Jane -09959947229",Cluster 18 Cambridge Village ,3,1,Calabarzon,Cainta,San Andres ,50,,0,,https://www.carousell.ph/p/bedspace-for-female-in-cambridge-village-condo-near-ortigas-ave-1016165558/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for rent Manhattan Heights Condominium,5000,"*Bedspace for rent 5,000/head
Studio type unit
We are in need of 3 tenants. 
Almost fully furnished, walang tv lang. 
Preferably for long term lease 6-12 months.
Inclusive of Association dues
Water and electricity not included. 
1 month security deposit + 1 month advance
Sms me in advance if you want to view the unit. 
Thanks for viewing. God bless.",Gen. Romulo Street. Cor. P. Tuazon Avenue,1,1,Metro Manila (NCR),Quezon City,Araneta Center Cubao,27,,,,https://www.carousell.ph/p/bedspace-for-rent-manhattan-heights-condominium-269111870/?t-id=xNAhuLhUH6_1609051618095&t-referrer_browse_type=search_results&t-referrer_request_id=zCVZWPerRPUxhSLj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
