Unit Title/Description,Price,Description,Street Address,Bedroom,Bathroom,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,
Lady Bedspace for Rent Pasay city,2000,"For inquiry pls send a msg 09076443834
Lady Bedspace in Pasay City

Why rent with us?...

1. Near moa, naia, caap, pascor and so on.
2. Bed foam and cabinet included.
3. With electric fan.
4. Only 2 person per room. 
5. At a very low price of P2000 per head all in. One month advance and deposit consumable.
6. Puj route is baclaran-sucat vice versa. 
   Landmark is Our Lady of Airways Parish Church.
7. Complete address: #43 Sampaloc St. Pildera 2, NAIA Pasay City, Philippines.","43 sampaloc street pilera 2 NAIA, Pasay City",1,1,Metro Manila (NCR),Pasay City,,10,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-pasay-city-1031871795/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/8/29/lady_bedspace_for_rent_pasay_c_1598745289_9b5db9df_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/29/lady_bedspace_for_rent_pasay_c_1598745289_896a9d49_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/29/lady_bedspace_for_rent_pasay_c_1598745289_ca1e3632_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/29/lady_bedspace_for_rent_pasay_c_1598745290_b0af9bc5_progressive.jpg, https://media.karousell.com/media/photos/products/2020/8/29/lady_bedspace_for_rent_pasay_c_1598745290_94a38197_progressive.jpg",
Bedspace (male),3000,"Male bedspace. Rent is inclusive of water, electricity and internet. Near Ayala Circuit mall and accessible to Makati CBD.","141 H. Santos St, Tejeros Bliss Makati City",1,1,Metro Manila (NCR),Makati City,,10,,,,https://www.carousell.ph/p/bedspace-male-239372198/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955375_b8736a77_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955375_516b886e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_44d81785_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_4a548048_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_134fe0ab_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_fde2d097_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_c2986223_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_8f3f8778_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_bf9117ad_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/13/bedspace_male_1562955376_10277ef4_progressive.jpg",
Bedspace for Rent Laguna,1800,"Bedspace for rent, Php 1,800.00
along the Old National Highway
Brgy. Dila, Sta. Rosa, Laguna

Convenient location
Walking distance to and from
Balibago Complex/Santa Rosa Transport Terminal.

One ride to: Asia Brewery, Nestle, Tanduay, SM Sta. Rosa, Robinsons, Pavilion, Target Mall & many others!

Inclusive of Water & Electricity :)
With Unlimited WiFi Access

Amenities:
24 hour security
CCTV cameras
Private toilet & bath per room
Toilet separate from shower
Cooking area
Laundry cages
Large backyard
Fire Safety with alarms
Professionally managed

Viewing Hours:
Monday - Friday 8:30am - 6:00pm
Saturday 8:30am - 12:00nn
CLOSED during Sundays & Holidays

NOTE: Rates are subject to change",Dila,4,2,Calabarzon,Santa Rosa,,26,,,,https://www.carousell.ph/p/bedspace-for-rent-laguna-238530136/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/11/235229_238530136_f581d691.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235229_238530136_236ef4a4.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235229_238530136_0fe74bca.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235229_238530136_2ceb6939.jpg",
Bedspace for Rent Dian Street San Isidro Makati,3000,"FOR LADIES ONLY
PRICE: 3,000 per person
Max Occupancy: 4 persons per room

Terms:

1-month deposit
1-month advance ( refundable upon moving out)

Inclusive of:

Water Consumption
Electricity
Free Wifi 
Cold Filtered Drinking Water
Foam Mattress
Electric fans
Common Toilet with sink and shower
Surveillance Security Camera
Common Dining Area
No Laundry ( limited to undergarments )

Location: Dian Street near Lrt Buendia and Ayala CBD",,2,2,Metro Manila (NCR),Makati City,,,,,,https://www.carousell.ph/p/bedspace-for-rent-dian-street-san-isidro-makati-238585507/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/12/001414_238585507_ac812606.jpg, https://media.karousell.com/media/photos/products/2019/07/12/001414_238585507_1ce04dc9.jpg, https://media.karousell.com/media/photos/products/2019/07/12/001414_238585507_73010d53.jpg, https://media.karousell.com/media/photos/products/2019/07/12/001414_238585507_59c466e3.jpg",
"Bedspace, bedspacer, boarding house for female in Pasig",1000,"* bedspacer for female only near Pasig City Hall and Pasig Palengke
* includes water and lights
* no curfew 
* kanya kanya susi
* solo locker
* near Ortigas, taguig, makat,i shaw, marikina, antipolo, caninta
* one ride to ortigas, tendisitas, marikina, cainta, market market, shaw, and ect.
* all females only
* pls. Call or txt for info, 
* you can visit the area 
just txt first b4 you call and b4 you go to area
* pls. txt 09229876374
* promo only
* GOD BLESS",125b Elpidio Santos cor. Callejon 4 Brgy. Sto. Tomas Pasig City,3,4,Metro Manila (NCR),Pasig City,,120,,,,https://www.carousell.ph/p/bedspace-bedspacer-boarding-house-for-female-in-pasig-261158606/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=C-S57pLmb4OA4xJK&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/11/08/bedspace_in_pasig_1573143089_cc8553893_progressive, https://media.karousell.com/media/photos/products/2020/02/18/bedspace_bedspacer_boarding_house_for_female_in_pasig_1582013451_f0ec2ca0_progressive.jpg, https://media.karousell.com/media/photos/products/2019/11/08/bedspace_in_pasig_1573143088_a9acb4380, https://media.karousell.com/media/photos/products/2019/11/08/bedspace_in_pasig_1573143088_d4ca16192_progressive",
Simple Bedspace Area for Male asap,2500,"simple bedspace area at our apartment living room. walking distance to mrt taft and lrt edsa. plus One ride going to MOA.. rental fee includes wifi, water and electricity.. has kitchen, common cr and laundry area..",,,,Metro Manila (NCR),Pasay City,Barangay 113,500,,,,https://www.carousell.ph/p/simple-bedspace-area-for-male-asap-1067343734/?t-id=10_QPLQXpZ_1612498226654&t-referrer_browse_type=search_results&t-referrer_request_id=ZuLQMGsuyoJc9Ymi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/2/4/simple_bedspace_area_for_male__1612403822_24c047cd_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/4/simple_bedspace_area_for_male__1612403822_c657865a_progressive.jpg",
Makati Male Professional Room for Rent Bedspace,2800,"TXT/SMS Sun: 0943-483-0099

Makati Male Bedspace Room for Rent Apartment for Male Professionals Boarding House Condominium and Dormitory Style. Flood Free.

ONLY ONE RIDE FROM:
Ayala, Buendia/Gil Puyat, Rockwwell, LRT, MRT, EDSA-Guadalupe, Mapua, RCBC, Ayala Malls Circuit Makati, Makati Ave., Malugay

RATE: (Limited slots left. Txt first to confirm availability.)
Top Bed - 2,800/mo.
Bottom Bed - 3,000/mo.

Features:
Spacious Social Hall, Common Areas
Regular Housekeeping
CCTV for Security
Kitchen

Free:
Water
Electricity
High Speed Wi-Fi
Hot and Cold Filtered Drinking Water
Flat TV with Cable
Steel Beds
Uratex Foam Mattress

TXT/SMS Sun: 0943-483-0099",MAKATI,5,4,Metro Manila (NCR),Makati City,,100,,,,https://www.carousell.ph/p/makati-male-professional-room-for-rent-bedspace-238002475/?t-id=Is5m6n15nc_1612499185779&t-referrer_browse_type=search_results&t-referrer_request_id=mEHi3TDK7Ihkebf0&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/09/makati_male_professional_room_for_rent_bedspace_1562633307_adce840c0_progressive, https://media.karousell.com/media/photos/products/2019/07/09/makati_male_professional_room_for_rent_bedspace_1562633307_2f72790b1_progressive, https://media.karousell.com/media/photos/products/2019/07/09/makati_male_professional_room_for_rent_bedspace_1562633307_5feae5402_progressive, https://media.karousell.com/media/photos/products/2019/07/09/makati_male_professional_room_for_rent_bedspace_1562633307_f5764d003_progressive",
"Female Bedspacer in San Juan City near Greenhills, Ortigas Center",2500,"For Rent: Female Bedspacer

* Near San Juan City Hall, Pinaglabanan Shrine, San Juan Arena, P. Guevarra, Ortigas
* Secured location (with CCTV)
* Free wifi- fibr, free cable tv, water dispenser, rent is inclusive of water & electricity
* With cabinet, double deck, uratex foam, electric fan

Available: 
C. Dungo St. (near San Juan City Hall)
2nd flr- 5 slots available, 4 upper deck(2,500) & 1 lower deck(2,600); (4 persons per room) 
3rd flr- 4 slots available, upperdeck; (4 persons per room- P2,600) 
4th flr- 1 slot available, upper deck; (2 persons per room- P2,900)

F. Roman St. (near Agora/Aurora Blvd.)
2nd flr- 4 slots available, bed; (2 persons per room- P2,700)
3rd flr- 4 slots available, bed; (4 persons per room- P2,700)
4th flr- 2 slots available, 1 lower bed & 2 upper bed; (4 persons per room- P2,700 & P2,600 )

Requirements:
- resume & 1 gov't ID
- 1mo deposit & 1mo advance (consumable)
- P500 keys deposit (refundable)

For questions please call or text and look for Ian 0 9 3 3 8 5 7 2 4 3 2 or 0 9 1 7 8 1 7 1 2 4 1 and look for Rose or Ian.",,5,5,Metro Manila (NCR),San Juan City,,270,,,,https://www.carousell.ph/p/female-bedspacer-in-san-juan-city-near-greenhills-ortigas-center-238936765/?t-id=Is5m6n15nc_1612499185779&t-referrer_browse_type=search_results&t-referrer_request_id=mEHi3TDK7Ihkebf0&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/08/14/for_rent_female_bedspacer_in_san_juan_near_greenhills_and_ortigas_1565763327_e361715c0_progressive, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_2d8a8295.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_a7f04b11.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_36f7e96a.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_f91d89bc.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_1a586353.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_593c4513.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_87e2c14e.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_96a22c0a.jpg, https://media.karousell.com/media/photos/products/2019/07/12/182229_238936765_906918db.jpg",
BEDSPACE FOR 2 or SOLO ROOM FOR RENT (for ladies only),3500,"BEDSPACE FOR 2 WORKING LADIES/SOLO ROOM FOR RENT
- 1 bedroom for 2 lady bedspacers
- available starting Feb 26

location:
- guadalupe viejo, makati city
- walking distance to edsa guadalupe, rockwell makati, guadalupe mrt station and guadalupe public market
- 1 jeepney ride to makati cbd (ayala, paseo de roxas, makati avenue, rcbc), makati city hall, lrt buendia
- accessible to public transportation (mrt, buses and jeepneys)

description:
- clean and spacious
- newly painted
- well ventilated (with 2 windows)
- bedroom located on the second floor
- toilet is common
- kitchen is common
- no curfew
- environment is safe 
- no crimes reported in our area
- flood free
- no water supply interruption

rate:
- P3500/pax/month, minimum 6 months contract
- 1 month advance and 2 months security deposit 

terms of payment:
- 1 month advance and 1 month security deposit are payable on or before move-in
- another 1 month security deposit is payable within 30 days upon move-in

inclusions:
? ceiling fan
? bunk bed with 6 inches mattress 
? drawers
? garment rack 
? shoe rack
? use of common areas
? cooking is allowed (no extra charge for the lpg)
? manual washing of clothes is allowed (though there is a nearby self-service laundry shop)
? purified water

exclusions:
? utilities - electricity in excess of P500 and water in excess of P200 to be paid by the tenant/s.
? no wifi for now but we can get a plan soon (bill to be equally divided)
? no air-conditioning unit

requirements:
- copy of 2 valid ids and current company id
- nbi clearance
- medical certificate",,1,,Metro Manila (NCR),Makati City,Guadalupe Viejo,15,,,,https://www.carousell.ph/p/bedspace-for-2-or-solo-room-for-rent-for-ladies-only-1066544787/?t-id=Is5m6n15nc_1612499185779&t-referrer_browse_type=search_results&t-referrer_request_id=TaDf38vaMHX6dH0S&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/31/bedspace_for_2_or_solo_room_fo_1612083098_9d27da20_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/31/bedspace_for_2_or_solo_room_fo_1612083098_d0b953c8_progressive.jpg",description
URGENT URGENT!!! Affordable Female Bedspacer Makati,3200,"URGENT URGENT!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,1,1,Metro Manila (NCR),Makati City,Pio Del Pilar,52,,,,https://www.carousell.ph/p/urgent-urgent-affordable-female-bedspacer-makati-1064300247/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218077_4b2392c6_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218077_34942e0b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_7d99c2ca_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_1a411e9c_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_6c577d0a_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_97af4062_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_550f5842_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218078_6e90b0f8_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/21/affordable_female_bedspacer_ma_1611218079_66e57cd4_progressive.jpg",description
ASAP ASAP !!! AFFORDABLE FEMALE BEDSPACE MAKATI,3200,"ASAP ASAP!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,,,Metro Manila (NCR),Makati City,,50,,,,https://www.carousell.ph/p/asap-asap-affordable-female-bedspace-makati-1041654074/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/28/rush_rush_affordable_female_be_1603854713_505c41d9_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/4/asap_asap__affordable_female_b_1612456353_71f363e3_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/4/asap_asap__affordable_female_b_1612456353_2577ad3b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/2/4/asap_asap__affordable_female_b_1612456353_4c68486e_progressive.jpg",description
Bonifacio Heights Condominium McKinley BGC Male condosharing Bedspace,4500,"2 BEDROOMw FULLY FURNISHED CONDO
?4500-?5500 MALE Condosharing/Bedspace McKinley BGC Taguig Move in ASAP
Location: BONIFACIO HEIGHTS CONDOMINIUM Lawton Ave, Fort Bonifacio
??1st room shared by 2 persons (5500/head)= NO SLOT available/fully occupied

??2nd room shared by 4 persons (4800/head)= 2 SLOT available only. first come first serve basis
+Air-coned rooms 
+Cooking allowed
+Swimming pool
+Basket ball court
+Built in cabinets
+Fan
+bike parking
+WiFi
+Bed and foam
+Refrigerator 
+Utensils

??FULLY FURNISHED STUDIO UNIT
-Shared by 6 persons (4500/head)=2 slots available

Available in the condominium: Grocery stores,drinkingwater station,laundry serv,Bayad center, Pantry,Clubhouse

PAYMENT TERM:1mon advance and 1mon security deposit. 
Very convinient to Cyber Sigma,west mckinley, Telus, Venice Mall,Cognizant,Optum, Onewolrd Squere, BGC, SM Aura.
5 mins away to McKinley, 10mins away to BGC at Bonifacio Heights Condominium for working Professionals only.Superb amenities & 24/7 security
Very affordable, Very convenient, secured and peaceful place.
On a budget ka? WFH set up? Skeletal? Dito ka na.
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**",Bonifacio Heights condominium Lawton Ave The Fort,2,1,Metro Manila (NCR),Taguig,,0,,0,,https://www.carousell.ph/p/bonifacio-heights-condominium-mckinley-bgc-male-condosharing-bedspace-280829165/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127128_6ae01b89_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127128_962b3b9b_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127128_ac4cad1a_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_f7fb72c7_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_68fad3cb_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_7088ac52_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_379194c9_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_0e08f694.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127129_b4c76004_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/bonifacio_heights_condominium_mckinley_bgc_condosharing_bedspace_1583127130_e916003b_progressive.jpg",description
Male Condosharing Bedspace condo sharing Mckinley Hill BGC Uptown,4500,"2 BEDROOM FULLY FURNISHED CONDO
?4500-?5500 MALE Condosharing/Bedspace McKinley BGC Taguig Move in ASAP
Location: BONIFACIO HEIGHTS CONDOMINIUM Lawton Ave, Fort Bonifacio
??1st room shared by 2 persons (5500/head)= NO SLOT available/fully occupied

??2nd room shared by 4 persons (4800/head)= 2 SLOT available only. first come first serve basis
+Air-coned rooms 
+Cooking allowed
+Swimming pool
+Basket ball court
+Built in cabinets
+Fan
+bike parking
+WiFi
+Bed and foam
+Refrigerator 
+Utensils

??FULLY FURNISHED STUDIO UNIT
-Shared by 6 persons (4500/head)=2 slots available

Available in the condominium: Grocery stores,drinkingwater station,laundry serv,Bayad center, Pantry,Clubhouse

PAYMENT TERM:1mon advance and 1mon security deposit. 
Very convinient to Cyber Sigma,west mckinley, Telus, Venice Mall,Cognizant,Optum, Onewolrd Squere, BGC, SM Aura.
5 mins away to McKinley, 10mins away to BGC at Bonifacio Heights Condominium for working Professionals only.Superb amenities & 24/7 security
Very affordable, Very convenient, secured and peaceful place.
On a budget ka? WFH set up? Skeletal? Dito ka na.
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**
**NO TIME FOR BOGUS INQUIRIES pls**",,2,1,Metro Manila (NCR),Taguig,,,,0,,https://www.carousell.ph/p/male-condosharing-bedspace-condo-sharing-mckinley-hill-bgc-uptown-280831855/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_6929a204_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_7b316825_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_429979b7_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_b65fc28d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_49043b30_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_ff093af3_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128078_0cc5228a_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128079_6c513701_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128079_daf27e24_progressive.jpg, https://media.karousell.com/media/photos/products/2020/03/02/male_condosharing_bedspace_condo_sharing_mckinley_hill_bgc_taguig_1583128079_124576eb_progressive.jpg",description
RUSH RUSH!!! Affordable Female Bedspace Makati,3200,"RUSH RUSH!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

veryaccessibleayalamakati
walkingdistanceayalamakati
veryaffordableladybedspacer
roomsharing
condosharing

AffordableLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,200PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",EGI Homes Condominium Medina St. Brgy. Pio del Pilar Makati City,2,1,Metro Manila (NCR),Makati City,Pio Del Pilar,50,,,,https://www.carousell.ph/p/rush-rush-affordable-female-bedspace-makati-1061034449/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=CEW7B-a71kfPfDh7&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_0491cc33_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942715_7307bd4a_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942715_ccec6d92_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942715_b82bbe4f_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_18923ab8_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_ed0bece4_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_477b664b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_9140839e_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/6/affordable_female_bedspace_mak_1609942716_31dcf419_progressive.jpg",description
(Lady) Bedspace - 5K all-in,4500,Pay 1 month advance and first month stay,"Qubix Condominium, Pedro Gil St., Paco, Manila
? Internet
? 24/7 security
? walking distance to Pedro Gil LRT",,2,Metro Manila (NCR),Manila,,0,,,,https://www.carousell.ph/p/lady-bedspace-5k-all-in-242140630/?t-id=ok-4U009GJ_1612499321652&t-referrer_browse_type=search_results&t-referrer_request_id=S4EsbTXhTPQ9wLsi&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/27/lady_bedspace__5k_allin_1564157793_c4360358_progressive.jpg,
