Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,Link,Images,Special Character?
Bedspace for Rent at Bonifacio Heights Condo McKinley Hill Taguig,5000,"Fully Furnished
Condo Sharing Bedspace
exclusive for female and or exclusive for Male Only
Looking for a place to stay for a very affordable and convenient place at Fort Bonifacio?
We are located at BONIFACIO HEIGHTS CONDOMINIUM

It s very accessible to Mc Kinley and Global City 1 ride only 5 minutes
The Mc Kinley Hill (optional walking distance only)
Suitable for Male/ Female professionals working at Fort Bonifacio
P5,000 /per person monthly 
*inclusive of asso dues
*nice and spacious place designed for 2 or 4 persons no curfews and flood free
*24 hours Security-safe place
HURRY FEW SLOTS AVAILABLE, look 4 Ayen Balanitan O9l7 5724395",Bonifacio heights condominium,2,1,Metro Manila (NCR),Taguig,,55.5,,,,https://www.carousell.ph/p/bedspace-for-rent-at-bonifacio-heights-condo-mckinley-hill-taguig-239305049/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=LrjwkvKV9rTUyF6J&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_6f1a7558.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_4988d95b.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_c0ad886a.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_16f350ce.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_234c10e6.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_4324853d.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_89bdec85.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_4d101c53.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_377ff482.jpg, https://media.karousell.com/media/photos/products/2019/07/13/000633_239305049_34d6ccf2.jpg",
Bedspace for Ladies in Makati,3000,"* Address: 2960 Arpilleda St., Brgy Carmona, Makati
* Call or Txt: Rene Arellano Cell# 09564080179
* We're located next to Carmona Sports Complex
* The 2 storey Bldg. w/ 7-11 Store at the groundfloor
*  Infront of Ayala Circuit Mall along A.P. Reyes St.
* 5 minutes walk fr corners, JP Rizal St. & Chino Roces St.
* Dormitory Style Living Accomodation for Ladies
* Located in a Safe and Accessible Neighborhood
* Superbly Clean and Spacious Rooms
* We provide: Housekeeping, Dbldeck Beds w/ mattress
*  Individual Lockers, Cable TV, WIFI Access, Ceiling Fan
* Basic Rent: Php 3000 a month, Elec & Water Included
* 1 month Advance & 1 month Security Deposit","2960 Arpilleda St., Bgy Carmona",5,4,Metro Manila (NCR),Makati City,Carmona,300,,,,https://www.carousell.ph/p/bedspace-for-ladies-in-makati-1064803167/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=SU5SYf2GKLQEVGGS&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406083_d93375cb_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406083_fe3f782b_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406083_34fcc9bc_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406083_c6fd227a_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406084_6c93d767_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406084_a60d9fa7_progressive, https://media.karousell.com/media/photos/products/2021/1/23/bedspace_for_ladies_in_makati_1611406084_bd4b3a44_progressive",
Bedspace or Room for rent makati near buendia ayala pasay,2500,"Room rental or bedspace
Batangas st. Makati, Male or female. 
close proximity to Buendia, pasay road. dian bautista
Close to cash and carry mall and sm hypermarket 
osmena highway or slex, magallanes  or pasay. 
buendia, ayala, paseo. pasay road. 

inclusions, wifi unlimited, basic water, basic electricity. 
can do laundry and cook. bring your own kalan. with kitchen
google map batangas st. makati to see for yourself.
2,500 bedspace only

5,000 good for 2 for the whole room. 
09079929969",Batangas street makati,5,,Metro Manila (NCR),Makati City,,20,,,,https://www.carousell.ph/p/bedspace-or-room-for-rent-makati-near-buendia-ayala-pasay-1033791978/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=LrjwkvKV9rTUyF6J&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492847_e4e09b60_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492848_317c54cf_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492848_b0206543_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492848_21008b29_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492848_6614b55c_progressive, https://media.karousell.com/media/photos/products/2020/9/7/bedspace_or_room_for_rent_maka_1599492848_4aaa329f_progressive",
Male Bedspace,4000,"Bedspace for Rent 
7pax capacity
Studio type 
26sqm 
Partially furnished 
With built in cabinets
4k rent per month 
Exclusive electric bills ( divided by all tenants) 
With aircon
With refrigarator 
10 mins walk BONI AVE MRT STATIO
10 mins walk Edsa Reliance 
15 mins walk GREENFIELD DISTRICT 
20 mins walk SM Megamall",Flair towers South Reliance St. cor Pines st. Mandaluyong City,0,1,Metro Manila (NCR),Mandaluyong City,Barangka Ilaya,26,,,,https://www.carousell.ph/p/male-bedspace-1060483874/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=Ziz6iD6Kth1m7vHn&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/4/male_bedspace_1609740041_02c85b2e_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/male_bedspace_1609740041_37b2568d_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/4/male_bedspace_1609740041_4650041b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/17/male_bedspace_1610861546_4152c85d_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/17/male_bedspace_1610861546_013be656_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/17/male_bedspace_1610861546_9a3fa178_progressive.jpg",
Female Bedspace in Makati,1900,"AMENITIES:

ROOM: 
Beds and mattresses, side tables, electric fans and ind'l. built-in cabinet w/ lock set. 

COMMON AREA: 
Sala set, dining table, refrigerator, electric fans, Cignal satellite TV, DVD, WiFi, emergency lights, fire extinguisher, microwave oven , water dispenser(free filtered /ozonized H2O), electric iron , lav, 2 T&B(w/ bidet) & 1 dedicated shower room. No cooking policy. 

LOCATION: 
Near (PRC)/CIRCUIT & Makati loop Puregold terminal.

WALKING DISTANCE from:
PRC/(CIRCUIT) Pasong Tamo /J.P. Rizal PUREGOLD 

1 RIDE from: 
Ayala Triangle/Guadalupe/Buendia Taft/Magallanes P. Tamo /Taft Herran /Paco 

TERMS:
1 month advance & 1 month deposit (Rent includes water & electricity)",,,,Metro Manila (NCR),Makati City,,,,,,https://www.carousell.ph/p/female-bedspace-in-makati-238533998/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=LrjwkvKV9rTUyF6J&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_58226af6.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_dc2f6742.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_d7027adb.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_d1e89db7.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_37bed8cb.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_7306dfeb.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_89faa80d.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_67818438.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_514564bb.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235346_238533998_5bdf9ad1.jpg",
Pasig Room rent Bed space Bedspace Shaw pioneer Kapitolyo 09179556319,2500,"Room is completely furnished with aircon & beddings
Common kitchen with ref, stove, microwave, & dinning area. 
Pwede magluto
No curfew
Call/Text 09179556319 Rich","San Isidro St. Barangay Kapitolyo, Pasig.",,,Metro Manila (NCR),Manila,,,,,,https://www.carousell.ph/p/pasig-room-rent-bed-space-bedspace-shaw-pioneer-kapitolyo-09179556319-240523820/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/07/18/room_rent__bed_space__bedspace__dorm__shaw_kapitolyo_pasig_1563448469_b2b6d313_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/18/room_rent__bed_space__bedspace__dorm__shaw_kapitolyo_pasig_1563448469_5ffe3b43_progressive.jpg",
Bed space Ortigas Bedspace Ortigas Bedspace Pasig Bed space Pasig Bedspace Male Bed space Ortigas Pasig Male,4000,"Males only. CLEAN & COVID FREE. ONLY 2 PAX PER ROOM. FREE STRONG WIFI 45MBPS CONVERGE ICT.  We are located in the middle of Ortigas Center inside a private village with cctv cameras and guards.  3 min walking distance to Capitol Commons & DEPED, 5 min to Ayala Mall the 30th, 10 min to Tektite Tower, SM Megamall,  LRT Shang Mall. 15 min to Poduim & St. Francis Square, other nearby malls are Robinsons Galleria & Metrowalk etc. Beddings are provided and laundered. Cleaning lady daily cleans all common areas such as toilets, showers and hallway. No curfew. Since there are 3 showers, 3 toilets and 3 sinks, you don't have to wait your turn to get ready in the mornings. No cooking. 1 month advance, 1 month deposit. All in electricity and water.   Please call or text Genna for site visit +639275061473",,4,5,Metro Manila (NCR),Pasig City,,33,,,,https://www.carousell.ph/p/bed-space-ortigas-bedspace-ortigas-bedspace-pasig-bed-space-pasig-bedspace-male-bed-space-ortigas-pasig-male-1012126105/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591620735_15b542fc_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_e8b699ff_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_b1cbdf5a_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_82af0c2a_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_8f5deb81_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_6c9e8463_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_d3697112_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_e8b94154_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621270_e8c35b85_progressive.jpg, https://media.karousell.com/media/photos/products/2020/6/8/bedspace_ortigas_pasig_male_1591621271_bb9980e6_progressive.jpg",
Bedspace Alabang,1700,"Rate: Only Php 1700/month

very safe location, very accessible to starmall, filinvest and northgate cyberzone alabang. bpo companies convergys, hsbc, apac, first source and genpact . - includes electricity - strong water - no curfew - very secured place, provided are keys to your room and the main gates gates rate only php 1700 month terms 1 month advance and 1 month deposit please contact us with number above for faster transaction 
Terms: 1 month advance and 1 month deposit

Please contact us with number above for faster transaction

Rooms for rent in NCR - Metro Manila 
Contact Seller",,,2,Metro Manila (NCR),Muntinlupa City,,,,,,https://www.carousell.ph/p/bedspace-alabang-239165591/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2019/07/12/194123_239165591_3a3b2bc4.jpg,
Pasay bedspace: Ladies Private Bedspace near Victory Pasay Mall & LRT Station,3500,"Ladies private bedroom with work table available for lease.
walking distance to Libertad LRT Station.  located right across Victory Pasay Mall & Public Market.
provided with washing machine, shared kitchen and shared toilets.
filtered drinking water also available.
each bed is private with curtains and with private lockable locker space.
with lower deck or upper deck.
water and electricity all included.
minimum of 6 months rental contract.
no parking available.  open laundry area also provided.
each room has a maximum of 8 beds, we have 4 toilets for sharing."," Libertad St. Pasay City, Pasay City",1,1,Metro Manila (NCR),Pasay City,Barangay 40,,,0,,https://www.carousell.ph/p/pasay-bedspace-ladies-private-bedspace-near-victory-pasay-mall-lrt-station-1045658421/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054322_de28c609e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054322_5f17fc3de_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054322_48d69220e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_6121cad7e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_a90a64e3e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_5f00fc38e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_8de366c1e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_07254ff5e_progressive, https://media.karousell.com/media/photos/products/2020/10/30/ladies_private_bedspace_near_victory_pasay_mall__lrt_station_1604054323_3a0fcef2e_progressive",
Ortigas bedspace condo sharing,5000,"Fully furnished 2BR Condo Sharing for Female Bedspacers.

Unit is located in a Millenia Suites - a Condotel in Escriva Drive Ortigas, across NEDA office and next street from University of ASia Pacific ( UA&P), Tycoon,Tektite and PSE. Walking distance from Megamall, Shangri La Mall, Capitol Commons and Ayala the30th Mall. Escriva drive is few steps from Shaw Blvd Ortigas for main transportation and few walks from Ortigas n Shaw Blvd Mrt station.

Guest are allowed to cook their own meal with complete cookware and kitchen utensils and equipped with stove, microwave oven, refigerator an electric kettle. 

The fully furnished  unit is also with free Wifi and cable Tv. Tenants can also enjoy acess to hotels amenities like swimming pool, gym, game room, indoor basketball court and jogging path. 

Monthly Rental 

5 k all in! Inclusive of rental, electricity, water, condo dues, Wifi, cable TV n housemaid services.",Escriva drive,2,2,Metro Manila (NCR),Pasig City,,50,,0,,https://www.carousell.ph/p/ortigas-bedspace-condo-sharing-266506457/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_0863c676_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_54031a67_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_9f0db9e3_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_f2c19a57_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_6cc19d1e_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778806_2fce49de_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778807_6174e71a_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778807_67d72da7_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778807_70e5da8f_progressive.jpg, https://media.karousell.com/media/photos/products/2019/12/08/ortigas_bedspace_condo_sharing_1575778807_26ffb6db_progressive.jpg",
Bedspace Condo Sharing Ortigas,4500,"FULLY FURNISHED UNIT for LADIES.

WITH VERY SPACIOUS COMMON AREA .
SET UP FURNISHED LIVING ROOM WITH ENTERTAINMENT, DINING AREA
WITH FULLY SET UP KITCHEN WITH REFRIGERATOR, STOVE& MICROWAVE
WITH  LAUNDRY AREA
EACH BEDROOM IS WITH OWN CLOSET AND TOILET & BATH

RESERVATION is at FIRST COME FIRST SERVE BASIS!

Non Aircon  -P 4,500/person/mo - ALL IN!

Air conditioned  Room-P 4,500/person/month
(Plus electricity equally shared by tenants)

Rates are inclusive of the following:
Rent WIFI
Condo Dues    Cable TV
Electricity  
Tap Water  
In house Maintenance staff/ Housemaid

1 month advance + 1 month Security deposit.
for long term and short term tenant",Goldloop tower Escriva Drive Ortigas Pasig,4,4,Metro Manila (NCR),Pasig City,,198,,,,https://www.carousell.ph/p/bedspace-condo-sharing-ortigas-238523481/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/9/2/bedspace_condo_sharing_ortigas_1599030736_5e6c6439_progressive.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_cd8f16a4.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_4d6edb39.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_27c4f457.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_41b3e8b8.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_0c4d8e03.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_3f8541f3.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_4b9b0062.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_93b015fc.jpg, https://media.karousell.com/media/photos/products/2019/07/11/235019_238523481_0fb1cede.jpg",
URGENT URGENT !!! AFFORDABLE FEMALE BEDSPACE MAKATI,3600,"URGENT URGENT!!!

??EVERYTHING YOU NEED IS HERE????
??HURRY... GRAB IT NOW????MORE SLOTS AVAILABLE...
??PM ME FOR SCHEDULE OF VIEWING...

??%Available!!!
I will delete this post if already occupied...

#veryaccessibleayalamakati
#walkingdistanceayalamakati
#veryaffordableladybedspacer
#roomsharing
#condosharing

#AccessibleLADYBEDSPACEForRentMakatiCity
#VeryaccessibleWaltermartMakatiSquareDonBoscoPbcomTowerRcbcAyalaAveGlorietteLandmarkMakatiMed

?MONTHLY RENT 3,600PHP

?Accept DAY SHIFT ONLY

?Only Upper Deck available

?UTILITIES FOR “ELECTRIC” NOT INCLUDED?
(Separate payment)

Included/Provided:
??Aircondition
??Wifi and landline
??Puwede Maglaba
??Puwede Magluto
??TV
??Double deck
??Mattress
??1month deposit 1month advance
??No curfew
??Very clean
??Newly renovated
??Puwede na lumipat agad
??Safe and secure (with guard)
??Water bill (kasama na)

??FOR INTERESTED kindly pm me. Thank you.",,,,Metro Manila (NCR),Makati City,,50,,,,https://www.carousell.ph/p/urgent-urgent-affordable-female-bedspace-makati-1041654074/?t-id=5cUuxxuSEY_1612243903690&t-referrer_browse_type=search_results&t-referrer_request_id=cLL9UPudzr6bNtXT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/10/28/rush_rush_affordable_female_be_1603854713_505c41d9_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/13/affordable_female_bedspace_mak_1602594726_50b49f6d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/10/13/affordable_female_bedspace_mak_1602594726_8e8bb820_progressive.jpg",description
Condo Sharing Bedspace Ortigas Mandaluyong Boni Shaw Pioneer,5500,"- Text us at 09064162741
- Condo is situated at BSA Twin Towers, Ortigas Center, Mandaluyong City
- For male or female tenants (separate units)
- Available for viewing on weekdays and weekends
- Very neat, cozy, well set-up, air-conditioned, fully-furnished condo units
- P5,500.00/month
- Free use of Wi-Fi, fitness gym and swimming pool",BSA Twin Towers,2,2,Metro Manila (NCR),Mandaluyong City,,80,,,,https://www.carousell.ph/p/condo-sharing-bedspace-ortigas-mandaluyong-boni-shaw-pioneer-283211286/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=gDHgbXfXcVefowPh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,https://media.karousell.com/media/photos/products/2020/03/14/condo_sharing_bedspace_ortigas_mandaluyong_boni_shaw_pioneer_1584200239_480df28db_progressive,
Lady bedspace for rent in pasay room bed space,3250,"Lady bedspace for rent in pasay
3250 each only

1room good for 2 pax
Free wifi
Hot shower
Water and electricity included
Common sink and CR
With exhaust fan
Located in 2nd floor

100 ibarra street pasay city.
Near lrt and mrt 
09214392273 choy bonifacio",,2,1,Metro Manila (NCR),Pasay City,,,,,,https://www.carousell.ph/p/lady-bedspace-for-rent-in-pasay-room-bed-space-1021465081/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=gDHgbXfXcVefowPh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/7/17/lady_bedspace_for_rent_in_pasa_1594991918_00031bda_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/17/lady_bedspace_for_rent_in_pasa_1594991918_c98720a8_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/17/lady_bedspace_for_rent_in_pasa_1594991918_e338262f_progressive.jpg",
Pasig ladies bed spacer bedspacing bedspacer,2000,"few steps from rotonda jollibee pasig.
commuter hub area
safe and quiet area
internet shared",22 f. caruncho st caniogan pasig city,,,Metro Manila (NCR),Pasig City,,30,,,,https://www.carousell.ph/p/pasig-ladies-bed-spacer-bedspacing-bedspacer-1018466900/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=gDHgbXfXcVefowPh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/7/5/pasig_bed_spacer_bedspacing_1593945755_315be81d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/5/pasig_bed_spacer_bedspacing_1593945755_d8ee587d_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/5/pasig_bed_spacer_bedspacing_1593945755_9bd671fe_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/5/pasig_bed_spacer_bedspacing_1593945755_ee51fa55_progressive.jpg, https://media.karousell.com/media/photos/products/2020/7/5/pasig_bed_spacer_bedspacing_1593945755_6fae717e_progressive.jpg",
Bedspace (Near Metropoint),3000,"bedspace area near mrt taft and lrt edsa. one ride to moa.. with wifi, water, electric. apartment with shared rooms..",227 Vergel Pasay,,1,Metro Manila (NCR),Pasay City,Barangay 113,500,,,,https://www.carousell.ph/p/bedspace-near-metropoint-1065284849/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=2yeWTIWB7z1Ya8e3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2021/1/25/bedspace_near_metropoint_1611581627_0796f6e4_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/25/bedspace_near_metropoint_1611581627_0f97262b_progressive.jpg, https://media.karousell.com/media/photos/products/2021/1/25/bedspace_near_metropoint_1611581627_5cd1db36_progressive.jpg",
All in fully furnished spacious bedspace in twin sharing room in GMA Kamuning,5000,"PhP 5000/bedspace
All in i.e. inclusive of all utilities i.e. water, electricity with aircon, 25 Mbps fiber internet, common landline,  and access to house appliance and facilities.  Cooking and laundry allowed.
Free access and use of fully accessorized two service areas, two kitchens, dining area, living area, lanai/veranda, garden
Appliance in room are aircon, stand floor electric fan
Easy access to modern multipoint heater CR, Ratio of 4 boarders per CR average
Room has full built in cabinetry for wardrobe, library file cabinet, work or study desk and office chairs per bedspacer, ideal for work from home/ remote worker
With night table, shoe rack, laundry hamper, stand fan, study / work desk lighting
Cabinets and drawers with individual locks
Fully furnished
Ample Ventilation/ large windows
Spacious floor area
Additional P1000 if with parking for vehicle
One minute walk to Kamuning Road, 5 mins. walk to GMA-Kamuning MRT
This is a boarding house in a quiet residential neighborhood with open green spaces

Requirements:
Full Time Working 
Updated government and employer ID
1 month property deposit
1 month rent advance

Contact Gela: 09171369447
                       85299439","#10, 11th Jamboree St. ",,,Metro Manila (NCR),Quezon City,Sacred Heart,150,,,,https://www.carousell.ph/p/all-in-fully-furnished-spacious-bedspace-in-twin-sharing-room-in-gma-kamuning-1057401209/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=gDHgbXfXcVefowPh&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451966_745a49bf_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451966_bd5d70c6_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451966_548b8177_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451966_80391c1a_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451967_9ba9f983_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451967_de2d35b9_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451967_2483a2d1_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451967_b9ffe21a_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451968_0c4d1070_progressive, https://media.karousell.com/media/photos/products/2020/12/20/all_in_fully_furnished_spaciou_1608451968_0b5f61bf_progressive",
Bedspace near Mckinley,3500,"5.5k/month
studio type (w/own cr and counter) good for 2
*water and electricity not included
*1month advance + 2months deposit

ALSO available
bedspace 3,500/pax/month
*water and electricity included","Mt.apo
*15mins walk to McKinley hills",1,1,Metro Manila (NCR),Taguig,Pinagsama,15,,,,https://www.carousell.ph/p/bedspace-near-mckinley-1046283437/?t-id=pnpGAzmQ82_1612244971094&t-referrer_browse_type=search_results&t-referrer_request_id=Aickj_Tg3SPfiFK3&t-referrer_search_query=bedspace&t-referrer_sort_by=popular,"https://media.karousell.com/media/photos/products/2020/11/2/bedspace_near_mckinley_1604303799_af78dbd3_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/2/bedspace_near_mckinley_1604303799_acc29f43_progressive.jpg, https://media.karousell.com/media/photos/products/2020/11/2/bedspace_near_mckinley_1604303799_2946551a_progressive.jpg",
