Unit Name,Price,Description,Street Address,Bedroom/s,Bathroom/s,Region,City,Barangay,Floor Area,Lot Area,Parking Space,Pet Friendly,,Images,Special Character?,Link
Bedspace for Boys,2000,"no need po Ng MGA advance at MGA deposit
near SM North po
with unli WiFi and globe landline
all in 2000 monthly MGA lods
common lahat
with guards
gated po kami
PM po kayoooo",near SM North,1,1,Metro Manila (NCR),Quezon City,Bagong Pag-asa,1.11E+15,,,,,https://media.karousell.com/media/photos/products/2021/1/18/bedspace_for_boys_1610947071_1910a56e_progressive.jpg,,https://www.carousell.ph/p/bedspace-for-boys-1063604166/?t-id=2_2ueQWk7W_1613034777859&t-referrer_browse_type=search_results&t-referrer_request_id=EVn5EMM39Nc6v8gv&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Mandaluyong Female Bedspace,2500," 
2500 including water and electricity 
Easy travel to Megamall, Makati, BGC and Greenhills.
15mins away from Rockwell
Newly renovated room, kitchen and two comfort rooms.
Kitchen is provisioned with rice cooker, stove (+200/month) and fridge. 
Safe and peaceful location.",,,1,Metro Manila (NCR),Mandaluyong City,Addition Hills,50,,,,,https://media.karousell.com/media/photos/products/2019/07/12/172731_238792752_f915a1ea.jpg,,https://www.carousell.ph/p/mandaluyong-female-bedspace-238792752/?t-id=M0z1hfLWsy_1613035000834&t-referrer_browse_type=search_results&t-referrer_request_id=fN9cP5l5XGW59cqF&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
(Lady) Bedspace - 5K all-in,4500,Pay 1 month advance and first month stay,"Qubix Condominium, Pedro Gil St., Paco, Manila
? Internet
? 24/7 security
? walking distance to Pedro Gil LRT",,2,Metro Manila (NCR),Manila,,0,,,,,https://media.karousell.com/media/photos/products/2019/07/27/lady_bedspace__5k_allin_1564157793_c4360358_progressive.jpg,,https://www.carousell.ph/p/lady-bedspace-5k-all-in-242140630/?t-id=M0z1hfLWsy_1613035000834&t-referrer_browse_type=search_results&t-referrer_request_id=YSizDjApUoovzCBP&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Lady Bedspacer Near Ortigas and Eastwood,2000,"Furnished with wifi, fridge, stove, bed with Uratex foam, electric fan, water purifier, and with own cabinet. 
Inclusive of water and electricity
Safe and quiet place","Dona Juana Subdivision Rosario, Pasig City",1,1,Metro Manila (NCR),Pasig City,Rosario,60,,,,,https://media.karousell.com/media/photos/products/2019/07/12/000149_238554045_c0080d4f.jpg,,https://www.carousell.ph/p/lady-bedspacer-near-ortigas-and-eastwood-238554045/?t-id=UiYaAKbcLG_1613035191927&t-referrer_browse_type=search_results&t-referrer_request_id=1v6C9RDgJhRUnPhb&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
"Lady Bedspacer near Ortigas Center, Bridgetowne, and Eastwood City",2000,"Furnished with wi-fi, fridge, stove, bed with Uratex foam, electric fan, water purifier, and with own cabinet. Inclusive of water and electricity.

Safe and quiet place ??",Dona Juana Subdivision,,1,Metro Manila (NCR),Pasig City,Rosario,60,,,,,https://media.karousell.com/media/photos/products/2021/2/1/lady_bedspacer_near_ortigas_ce_1612161054_3fbae914_progressive,description,https://www.carousell.ph/p/lady-bedspacer-near-ortigas-center-bridgetowne-and-eastwood-city-1066741510/?t-id=UiYaAKbcLG_1613035191927&t-referrer_browse_type=search_results&t-referrer_request_id=SS_xadBhUTyAo0oU&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
La Verti Condo Bedspace makati ayala buendia moa pasay taft mrt lrt,4500,"Location: 
Pasay City near LRT Gil Puyat Station 
Infront of Adventist Hospital

•Spacious an Comfortable place to stay
•Near office and mrt- saves time and traffic stress
•Cozy Fully furnished - complete furnitures and ice cold aircon

2 Bedroom Unit- Fully Furnished

Price: 
Bedroom 1 (Max 4 person): 4.5k
Bedroom 2 (Max 2 person): 5k

PACKAGES:
Free WIFI, CABLE (inside the unit)
Inclusive of Condo dues
Air-Conditioned per room
Inverter Refrigerator (tipid)
LED TV - 27inches
Microwave, induction cooker
Cabinets (big size for all your clothes)
Bed with matress- full std size
Shoe rack
Dining set
Flat Iron with Stand

AMENITIES:
Swimming pool
Gym

For inquiries pls PM/SMS Marissa 09366120776",Donada St. Pasay City Infront of Adventist Hospital ,2,1,Metro Manila (NCR),Pasay City,,,,0,,,https://media.karousell.com/media/photos/products/2020/02/25/la_verti_condo_bedspace_makati_ayala_buendia_moa_pasay_taft_mrt_lrt__1582636476_ea85ca70_progressive.jpg,description,https://www.carousell.ph/p/la-verti-condo-bedspace-makati-ayala-buendia-moa-pasay-taft-mrt-lrt-279759601/?t-id=OsLeCSdHMX_1613035362999&t-referrer_browse_type=search_results&t-referrer_request_id=6uRiI8vZayHwi2TT&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Bedspace for Girls,2500,"To Those Who Are Interested;
Room#1 - Good for 2 persons. Single/Separate beds
Php 3,000 monthly per head (1 available)
Room#2 - Good for 4 persons. Double Deck
Php 2,500 monthly per head 
Lower beds ( 1 available )
Upper beds (1 available) 

Inclusive of water & electricity w/ PLDT wifi. 
You can do cooking and washing. Appliances free to use and share with other tenants are washing machine with drier, tv and refrigerator. Each tenant have their own access key in main door & their respective room door.

Requirements:
Copy of NBI and 1 valid ID
One (1) month advance & Two (2) months deposit 
Minimum of 6 months contract.

For more details, you may call or text @ globe#09565875729","ACTV Bedspace Rental
 
(available in Google map)",2,1,Calabarzon,Carmona,,58,,,,,https://media.karousell.com/media/photos/products/2020/9/9/bedspace_for_girls_1599631692_04ce0ef9_progressive.jpg,,https://www.carousell.ph/p/bedspace-for-girls-239219902/?t-id=Qu7O90Ipi__1613035966199&t-referrer_browse_type=search_results&t-referrer_request_id=B0VWgKVZIJYgFs-F&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Better Living Parañaque: Male & Female Bedspacer Dorm Type,349,"What we offer po is bedspacer shared fanroom for male and female na dorm type. We offer 1 year contract 1 month advance and 1 month deposit And Non Contract Daily, Weekly Amd Monthly ang advantage po are no advance, no deposit and no contract. Ang babayaran nyo lang po, yung ibbook nyo po. All in na din po lahat, Kuryente, tubig, Internet, Mattress, Unan, Kumot kami na po maglalaba every week pwede kayo magrequest ng bago.  Malapit sa lahat ng establishments. Magccheck in nalang po kayo. Pili nalang po kayo. =)

So far i have the most reasonable rates and amenities.

1.Hindi kasi lahat may cctv so safe, secured and convenient. 

2.May Dog din sa area at doorbell/ buzzer for safety & convenience. 

3. May Free wifi access din at balcony na pwede magamit for pass time.

4. May kasambahay nagmamaintain ng cleanliness.

5. Malapit sa lahat ng etablishments Sakayan, palengke, kainan, simbahan, hospital, police & Brgy. =).

Promo Rates:
Bed Spacer Shared Fan Rooms
(Non Contract) (SHORT TERM STAY)

Daily Rates Php 349 Per Day
Weekly Php 1749 Days +( Free 2 Days Stay )
Monthly Php 3999 3 Weeks + (Free 1 Week Stay)

Note: With Free Use Of Matress, Bedsheet, Pillow, Blanket And Electricfan.

Note: Shared Fan Rooms 1-4/6 Pax/Room

Note: Inclusive of Electric And Water Consumption Plus Free Wifi Access And Area Is CCTV protected. Thanks po. =).

Promo Rates:
Bed Spacer Shared Fan Rooms
(With 1 Year Contract)

Monthly
Php 2,699/Pax Upper Deck
Php 2,799/Pax Lower Deck
1 Month Advance And 1 Month Deposit

Note: Shared Rooms 1-4/6 Pax/Room

Note: Inclusive of Electric, Water Consumption, 2 inch mattress lend Plus Free Wifi Access And Area Is CCTV protected. 

You can provide on your own or rent Complete set 3 inch mattress, bedsheet, pillow for Php 499/month per set we'll do the laundry.

-Alex Yuzon
09177717648
Landlord","Yuzon's Bed Spacer & Transient Home.
Address
Blk 1 Lot 20-21 Mathew St. Annex 35 Dona Soledad Brgy Don Bosco Paranaque.
Zip 1711

Landmark: Near Silog Food Hub & Mercury Drug At Russia St And Before F Serrano Sr. Elem School.

How To Get Here: Liko sa Silog Food Hub At Russia St. , Pasok ng Annex 35 Guardhouse. Pasabi Sa Guardhouse Kela Alex Yuzon. Kaliwa sa Mathew St. Violet Na Gate. Inside Nanay Thezz Sari Sari Store. Door Bell lang po kayo Thanks po =)",2,3,Metro Manila (NCR),Paranaque City,,265,,,,,https://media.karousell.com/media/photos/products/2019/09/01/better_living_paraaque_male__female_bedspacer_1567353030_187d3fe8_progressive.jpg,unit name,https://www.carousell.ph/p/better-living-para%C3%B1aque-male-female-bedspacer-dorm-type-249089096/?t-id=LvFnvdY4mU_1613036128102&t-referrer_browse_type=search_results&t-referrer_request_id=hNgc06Ua1X3I8bCj&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Female bedspace / bedspace for rent in makati near ayala,3000,"FEMALE BEDSPACE for Rent.

Location: Makati
??Near RCBC, Fire station and Makati Medical
??Near Circuit Mall
??Near Shopwise Makati
??Near Jp Rizal and Kalayaan
??One ride going Makati Ave. And Ayala. 

Non AC Room only.
Inclusions:
??Electricity (Consumable) 
??Water (Consumable) 
??Secured CCTV on hallways. 
??Mattress
??Locker
??Common kitchenette with table, chairs and utensils
??Common CR with shower
??Clothes rack and hangers
??Electric fan in kitchen
??Provision for aircon
??Mirror
??Rooftop - sampayan

??Rules and Regulation implemented for safety. 
??No curfew
??Cooking and washing of clothes are allowed 
??1month advance 1month deposit. 
??Valid Id required. 

1 slot available 

Other info - Contact: 09496179066 / 09217898483
Or visit us: 3938 Yague St. Makati city",Yague,2,1,Metro Manila (NCR),Makati City,Santa Cruz,50,,0,,,https://media.karousell.com/media/photos/products/2021/1/30/female_bedspace__bedspace_for__1612018292_aab32691_progressive.jpg,description,https://www.carousell.ph/p/female-bedspace-bedspace-for-rent-in-makati-near-ayala-1056816000/?t-id=NQLge0dJOX_1613036387069&t-referrer_browse_type=search_results&t-referrer_request_id=PbejbVeVuYtTkJ-C&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Condo Sharing Bedspace for Female near Boni and Shaw MRT Aircon wifi n,6500,"Condo Sharing Bedspace for Female near Boni and Shaw MRT Aircon with wifi netflix water heater 

Only 3 pax in the room 
Single Bed
Aircon with wifi and Netflix 
Can do light laundry 
With water heater 

1 trike from Boni / Shaw MRT Station 
Near Kapitolyo, SM Light, and Robinsons Forum 

Clean and quiet..not crowded 
See to appreciate 

Call or contact us for immediate concern"," Pioneer St., Mandaluyong , Pioneer",1,1,Metro Manila (NCR),Mandaluyong City,,32,,0,,,https://media.karousell.com/media/photos/products/2021/01/01/condo_sharing_bedspace_for_female_near_boni_and_shaw_mrt_aircon_wifi_n_1609500373_e008d49ee_progressive,,https://www.carousell.ph/p/condo-sharing-bedspace-for-female-near-boni-and-shaw-mrt-aircon-wifi-n-274471537/?t-id=kiJbH-OxR9_1613036630712&t-referrer_browse_type=search_results&t-referrer_request_id=nlHbNkNd6RsJ9lgD&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
Condoshare/Bedspace,6500,,Reliance cor Pines Street Mandaluyong City,2,1,Metro Manila (NCR),Mandaluyong City,Highway Hills,60,,,,,https://media.karousell.com/media/photos/products/2021/1/12/condosharebedspace_1610479151_cc157228_progressive.jpg,,https://www.carousell.ph/p/condoshare-bedspace-1062344428/?t-id=kiJbH-OxR9_1613036630712&t-referrer_browse_type=search_results&t-referrer_request_id=W1AMX0MiSh67XfPI&t-referrer_search_query=bedspace&t-referrer_sort_by=popular
